1	Liebe	Liebe	N	NN	_|_|_	8	vok	_	_
2	Eva	Eva	N	NE	Fem|_|Sg	1	app	_	_
3	,	,	$,	$,	_	0	root	_	_
4	In	in	PREP	APPR	Dat	8	pp	_	_
5	der	die	ART	ART	Def|_|_|_	7	det	_	_
6	Nächste	nah	ADJA	ADJA	_|_|_|_|_|	7	attr	_	_
7	Woche	Woche	N	NN	Fem|Dat|Sg	4	pn	_	_
8	muss	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
9	ich	ich	PRO	PPER	1|Sg|_|Nom	8	subj	_	_
10	auf	auf	PREP	APPR	_	0	root	_	_
11	drei	drei	CARD	CARD	_	10	pn	_	_
12	Tag	Tag	N	NN	Masc|_|Sg	0	root	_	_
13	von	von	PREP	APPR	_	0	root	_	_
14	9	9	CARD	CARD	_	13	pn	_	_
15	Januar	Januar	N	NN	Masc|_|Sg	0	root	_	_
16	bis	bis	PREP	APPR	Acc	0	root	_	_
17	11	11	CARD	CARD	_	16	pn	_	_
18	Januar	Januar	N	NN	Masc|Acc|Sg	19	grad	_	_
19	nach	nach	PREP	APPR	Dat	0	root	_	_
20	Stadt	Stadt	N	NN	Fem|Dat|Sg	19	pn	_	_
21	X	X	N	NE	Fem|Dat|Sg	20	app	_	_
22	fahren	fahren	V	VVINF	_	0	root	_	_
23	,	,	$,	$,	_	0	root	_	_
24	aber	aber	KON	KON	_	0	root	_	_
25	wie	wie	PWAV	PWAV	_	27	adv	_	_
26	du	du	PRO	PPER	2|Sg|_|Nom	27	subj	_	_
27	weist	weisen	V	VVFIN	2|Sg|Pres|Ind	24	cj	_	_
28	ich	ich	PRO	PPER	1|Sg|_|Nom	0	root	_	_
29	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
30	ein	eine	ART	ART	Indef|Masc|Nom|Sg	31	det	_	_
31	Hund	Hund	N	NN	Masc|Nom|Sg	29	subj	_	_
32	,	,	$,	$,	_	0	root	_	_
33	ich	ich	PRO	PPER	1|Sg|_|Nom	0	root	_	_
34	bitte	bitte	ITJ	ITJ	_	0	root	_	_
35	wenn	wenn	KOUS	KOUS	_	38	konj	_	_
36	es	es	PRO	PPER	3|Sg|Neut|Nom	38	subj	_	_
37	möglich	möglich	ADV	ADJD	Pos|	38	pred	_	_
38	ist	sein	V	VAFIN	3|Sg|Pres|Ind	40	neb	_	_
39	,	,	$,	$,	_	0	root	_	_
40	könntest	können	V	VMFIN	2|Sg|Past|Subj	0	root	_	_
41	du	du	PRO	PPER	2|Sg|_|Nom	40	subj	_	_
42	mit	mit	PREP	APPR	Dat	46	pp	_	_
43	meinem	meine	ART	PPOSAT	Masc|Dat|Sg	44	det	_	_
44	Hund	Hund	N	NN	Masc|Dat|Sg	42	pn	_	_
45	späzieren	späzieren	N	NE	Masc|Dat|Sg	44	app	_	_
46	gehen	gehen	V	VVINF	_	40	aux	_	_
47	.	.	$.	$.	_	0	root	_	_

1	und	und	KON	KON	_	0	root	_	_
2	ihn	er	PRO	PPER	3|Sg|Masc|Acc	4	obja	_	_
3	auch	auch	ADV	ADV	_	4	adv	_	_
4	füttern	füttern	V	VVINF	_	1	cj	_	_
5	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	schon	schon	ADV	ADV	_	2	adv	_	_
4	alles	alle	PRO	PIS	Neut|Acc|Sg	2	obja	_	_
5	Vorbereit	vorbereit	ADV	ADJD	Pos|	2	adv	_	_
6	,	,	$,	$,	_	0	root	_	_
7	du	du	PRO	PPER	2|Sg|_|Nom	8	subj	_	_
8	weist	weisen	V	VVFIN	2|Sg|Pres|Ind	2	kon	_	_
9	doch	doch	ADV	ADV	_	8	adv	_	_
10	er	er	PRO	PPER	3|Sg|Masc|Nom	11	subj	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
