general_author_id,general_test_language,general_cefr,general_task,general_mother_tongue,general_age,general_gender,rating_overall_cefr_rating,rating_grammatical_accuracy,rating_orthography_b2,rating_vocabulary_range,rating_vocabulary_control,rating_coherence_cohesion,rating_sociolinguistic_appropriateness,txt_len_in_char,EINFACH,EINFACH_NICHT,ART,ART_NICHT,PREP,PREP_NICHT,RECHTSCHREIBUNG,RECHTSCHREIBUNG_NICHT,EIGENNAMEN,EIGENNAMEN_NICHT,REDEWENDUNGEN,REDEWENDUNGEN_NICHT, WAHR,FALSCH,UNBEKANNT,
1031_0002079,German,C1,reporting about the housing situation - ID 1031_050300,English,39,male,C1,C1,C1,C2,C2,C1,C1,1671,0,0,0,0,0,0,0,0,0,0,7,10,0,7,10
1031_0003170,German,C1,write article about sticking to one's traditions and 'assimilation' in a new environment - ID 1031_030301,French,23,female,B2,B1,C1,B2,B2,B2,B2,1334,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0
1023_0109096,German,B2,Au pair writes letter of complaint to Agency - ID 1023_100303,French,20,female,B2,B2,C1,B2,B2,B2,B2,1208,0,0,12,0,0,0,4,0,1,0,0,0,0,17,0
1023_0108955,German,B2,Au pair writes letter of complaint to Agency - ID 1023_100303,French,20,male,B2,B2,C2,B2,B2,C1,C1,1235,0,0,11,0,0,0,6,0,1,0,0,0,0,18,0
1031_0003077,German,C1,reporting about the housing situation - ID 1031_050300,French,26,male,B2,B2,B2,C1,B2,B2,B2,1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061_0120487,German,B1,write a letter for New Year to a friend - ID 1061_110101,English,40,female,B1,B1,B1,B1,B1,B1,B2,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031_0003133,German,C1,reporting about the housing situation - ID 1031_050300,English,33,female,C1,C1,C1,C1,C1,C1,C1,1320,0,0,0,0,0,0,0,0,0,0,4,6,0,4,6
1071_0024802,German,A1,ask friend for help for finding apartment - ID 1071_020200,English,18,female,A2,B1,B1,B1,A2,A2,A2,405,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1
1071_0024816,German,A1,arrange appointment with friend to go swimming together - ID 1071_120302,French,27,male,A2,A2,A2,A2,A2,A2,A2,209,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1023_0101851,German,B2,apply for internship in sales department - ID 1023_120301,English,37,female,B2,B2,B2,B2,B2,B1,B2,1165,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2
1061_0120281,German,B1,write a letter to a friend (visit) - ID 1061_130101,English,28,female,A2,A2,B1,B1,A2,A2,A2,356,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1
1071_0024817,German,A1,arrange appointment with friend to go swimming together - ID 1071_120302,English,23,male,A2,A2,A2,A2,A2,A2,A1,185,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
1071_0024803,German,A1,ask friend for help for finding apartment - ID 1071_020200,English,34,female,A2,A2,A2,A2,A2,A1,A2,272,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1031_0002199,German,C1,write article about sticking to one's traditions and 'assimilation' in a new environment - ID 1031_030301,French,33,female,B2,B2,C1,C1,C1,B2,C1,1404,0,0,0,0,0,0,0,0,0,0,1,7,0,1,7
1071_0024778,German,A1,congratulate to birth of child - ID 1071_030101,English,34,male,A1,A1,A1,A2,A1,A1,A1,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031_0003132,German,C1,essay about why it's of value to learn German - ID 1031_010300,English,30,female,B2,B2,B2,C1,C1,C1,B2,1380,0,0,0,0,0,0,0,0,0,0,5,9,0,5,9
1061_0120283,German,B1,write a letter to a friend (visit) - ID 1061_130101,English,49,female,A2,A1,A2,A2,A2,A1,A2,260,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1023_0108888,German,B2,Au pair writes letter of complaint to Agency - ID 1023_100303,French,27,female,B2,B2,B2,B2,B1,B2,B2,1392,0,0,0,0,0,0,0,0,0,0,5,3,0,5,3
1071_0024814,German,A1,arrange appointment with friend to go swimming together - ID 1071_120302,English,33,female,A2,A2,A2,A2,A2,A2,A1,266,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
1061_0120481,German,B1,write a letter for New Year to a friend - ID 1061_110101,English,23,female,B2,B1,C1,B2,B2,B2,B2,1296,0,0,0,0,0,0,0,0,0,0,1,5,0,1,5
1071_0024804,German,A1,ask friend for help for finding apartment - ID 1071_020200,English,19,female,A2,A2,A2,A2,A1,A1,A2,221,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
1023_0101895,German,B2,apply for internship in sales department - ID 1023_120301,French,31,female,B2,C1,B2,B2,B2,C1,B2,1245,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2
1031_0003136,German,C1,reporting about the housing situation - ID 1031_050300,French,32,male,C1,B2,C1,C1,B2,C1,B2,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023_0109401,German,B2,Au pair writes letter of complaint to Agency - ID 1023_100303,English,39,male,B2,B1,B2,B2,B2,B2,B2,1006,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2
1023_0109951,German,B2,ask for information at Au pair Agency - ID 1023_080401,English,27,female,B1,B1,B2,B2,B2,B1,B2,1504,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5
1023_0101841,German,B2,apply for internship in sales department - ID 1023_120301,English,32,female,B1,B1,B2,B2,B2,B1,B2,1440,0,0,0,0,0,0,0,0,0,0,4,3,0,4,3
1071_0024691,German,A1,ask friend for help for finding apartment - ID 1071_020200,French,37,female,A2,A2,B1,B1,A2,A2,B1,703,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3
1023_0109880,German,B2,ask for information at Au pair Agency - ID 1023_080401,French,29,female,B2,B2,C1,C1,B2,B2,B2,1172,0,0,0,0,0,0,0,0,0,0,2,4,0,2,4
